source_node_id,target_node_id,edge_type,weight,evidence_id,attributes_json
evidence:ev-00230,source:official,from_source,1.0,ev-00230,"{""evidence_id"": ""ev-00230""}"
evidence:ev-00246,source:official,from_source,1.0,ev-00246,"{""evidence_id"": ""ev-00246""}"
evidence:ev-00249,source:official,from_source,1.0,ev-00249,"{""evidence_id"": ""ev-00249""}"
evidence:ev-00250,source:official,from_source,1.0,ev-00250,"{""evidence_id"": ""ev-00250""}"
evidence:ev-00234,source:official,from_source,1.0,ev-00234,"{""evidence_id"": ""ev-00234""}"
evidence:ev-00207,source:public_web,from_source,1.0,ev-00207,"{""evidence_id"": ""ev-00207""}"
evidence:ev-00213,source:public_web,from_source,1.0,ev-00213,"{""evidence_id"": ""ev-00213""}"
evidence:ev-00275,source:official,from_source,1.0,ev-00275,"{""evidence_id"": ""ev-00275""}"
evidence:ev-00280,source:official,from_source,1.0,ev-00280,"{""evidence_id"": ""ev-00280""}"
evidence:ev-00284,source:official,from_source,1.0,ev-00284,"{""evidence_id"": ""ev-00284""}"
evidence:ev-00289,source:official,from_source,1.0,ev-00289,"{""evidence_id"": ""ev-00289""}"
evidence:ev-00291,source:official,from_source,1.0,ev-00291,"{""evidence_id"": ""ev-00291""}"
evidence:ev-00292,source:official,from_source,1.0,ev-00292,"{""evidence_id"": ""ev-00292""}"
evidence:ev-00297,source:official,from_source,1.0,ev-00297,"{""evidence_id"": ""ev-00297""}"
evidence:ev-00299,source:official,from_source,1.0,ev-00299,"{""evidence_id"": ""ev-00299""}"
evidence:ev-00271,source:public_interaction,from_source,1.0,ev-00271,"{""evidence_id"": ""ev-00271""}"
evidence:ev-00278,source:public_interaction,from_source,1.0,ev-00278,"{""evidence_id"": ""ev-00278""}"
evidence:ev-00279,source:public_interaction,from_source,1.0,ev-00279,"{""evidence_id"": ""ev-00279""}"
evidence:ev-00281,source:public_interaction,from_source,1.0,ev-00281,"{""evidence_id"": ""ev-00281""}"
evidence:ev-00282,source:public_interaction,from_source,1.0,ev-00282,"{""evidence_id"": ""ev-00282""}"
evidence:ev-00293,source:public_interaction,from_source,1.0,ev-00293,"{""evidence_id"": ""ev-00293""}"
evidence:ev-00259,source:news,from_source,1.0,ev-00259,"{""evidence_id"": ""ev-00259""}"
evidence:ev-00283,source:news,from_source,1.0,ev-00283,"{""evidence_id"": ""ev-00283""}"
evidence:ev-00285,source:news,from_source,1.0,ev-00285,"{""evidence_id"": ""ev-00285""}"
evidence:ev-00254,source:public_web,from_source,1.0,ev-00254,"{""evidence_id"": ""ev-00254""}"
evidence:ev-00256,source:public_web,from_source,1.0,ev-00256,"{""evidence_id"": ""ev-00256""}"
evidence:ev-00263,source:public_web,from_source,1.0,ev-00263,"{""evidence_id"": ""ev-00263""}"
evidence:ev-00274,source:public_web,from_source,1.0,ev-00274,"{""evidence_id"": ""ev-00274""}"
evidence:ev-00288,source:official,from_source,1.0,ev-00288,"{""evidence_id"": ""ev-00288""}"
evidence:ev-00272,source:public_interaction,from_source,1.0,ev-00272,"{""evidence_id"": ""ev-00272""}"
evidence:ev-00264,source:official,from_source,1.0,ev-00264,"{""evidence_id"": ""ev-00264""}"
evidence:ev-00296,source:official,from_source,1.0,ev-00296,"{""evidence_id"": ""ev-00296""}"
evidence:ev-00298,source:official,from_source,1.0,ev-00298,"{""evidence_id"": ""ev-00298""}"
evidence:ev-00294,source:news,from_source,1.0,ev-00294,"{""evidence_id"": ""ev-00294""}"
evidence:ev-00258,source:public_web,from_source,1.0,ev-00258,"{""evidence_id"": ""ev-00258""}"
evidence:ev-00260,source:public_web,from_source,1.0,ev-00260,"{""evidence_id"": ""ev-00260""}"
evidence:ev-00290,source:public_web,from_source,1.0,ev-00290,"{""evidence_id"": ""ev-00290""}"
